g_1_CQYpEuH7;Kastrioti;Flamurtari
g_1_EoJijcLE;Antwerp;Anderlecht
g_1_fqXLYUks;Club Brugge KV;Genk
g_1_ttFm6LYQ;St. Truiden;Eupen
g_1_nmDim5Zr;Francs Borains;Vise
g_1_tEt4CxFN;Bocholter;Hasselt
g_1_2Pf2wXxT;Aurora;Guabira
g_1_lGFIuNJd;Destroyers;Wilstermann
g_1_WvoYXA0j;Nacional Potosi;The Strongest
g_1_rylgaAsO;TOSK Tesanj;Gorazde
g_1_Ec7mWLeE;Corinthians;Gremio
g_1_zVjWNc3f;Goias;Ceara
g_1_MNAeUaQQ;Flamengo RJ;Chapecoense-SC
g_1_WYs3O9x8;Atletico-MG;Palmeiras
g_1_KbvaPkN1;Internacional;Cruzeiro
g_1_rXBiVuBK;Santos;Vasco
g_1_nTjuGSHT;Brasil de Pelotas;CRB
g_1_xhWlzW2o;Cuiaba Esporte;Parana
g_1_j1cWHlmH;Operario;Oeste
g_1_vsvopVKA;Imperatriz;Treze PB
g_1_WzRxmngr;Paysandu PA;Juventude
g_1_pKvsoB54;Globo;Sampaio Correa
g_1_v1UpoQNf;Ypiranga FC;EC Sao Jose
g_1_ARPtn68l;Boa;Acreano
g_1_EaWcsT4T;Confianca;ABC
g_1_WrFL8uWF;Internacional W;Vitoria W
g_1_nF3ACzKA;Levski Sofia;Cherno More
g_1_GCGjB5ff;Strumska Slava;Ludogorets II
g_1_0f3J1r9o;Angkor Tiger FC;Asia Euro United
g_1_vo2N02Oi;Kirivong Sok Sen Chey;Soltilo Angkor
g_1_CvAywaWp;Kompong Cham;Svay Rieng
g_1_M9iSaMwb;Phnom Penh Crown;Police Commissary
g_1_IZPedKPI;APEJES Academy;Stade Renard
g_1_A9Qic0AC;Dragon de Yaounde;UMS de Loum
g_1_dQOaevuP;Fovu Baham;Les Astres
g_1_0bkt4WrP;New Star;Bamenda
g_1_xKt8ajit;Union Douala;Bafang
g_1_8WOx9Hcm;Forge;Cavalry
g_1_ht4At8lJ;Edmonton;Pacific FC
g_1_SYObD995;Colo Colo;Palestino
g_1_xU70T6sD;Everton;A. Italiano
g_1_f1r89R8U;Cobresal;U. Catolica
g_1_8SImegVR;San Luis;Club Deportes Santa Cruz
g_1_Ay5FjDwq;Copiapo;Nublense
g_1_6kJkzhg2;Rangers;San Felipe
g_1_02FucF0F;Cobreloa;S. Morning
g_1_h0fKkXhk;Valdivia;D. Puerto Montt
g_1_pOW0YKxK;Tianjin Tianhai;Guangzhou R&F
g_1_voW4XvhQ;Beijing Guoan;Shenzhen
g_1_EwNWSb0s;Guangzhou Evergrande;Jiangsu Suning
g_1_d2CySIFm;Shanghai SIPG;Shandong Luneng
g_1_dSHlwZcD;Changchun Yatai;Shijiazhuang
g_1_lzbauHy5;Barranquilla;Leones
g_1_fX07we6H;Pereira;Quindio
g_1_YNaBxFLN;Llaneros;Chico
g_1_0A13vyiB;Cortulua;Cartagena
g_1_byYlS1YN;Solin;Lucko
g_1_hbXhRLmU;Bijelo Brdo;Dugopolje
g_1_tC1Jqxfp;Apollon;AEK Larnaca
g_1_4jWM3coG;Alki Oroklini;Anorthosis
g_1_CGZU1yGS;Doxa;Ermis
g_1_IgzR2H0M;Paphos;Paralimni
g_1_EwPl45Q6;Slavia Prague;Plzen
g_1_WUa1WrRd;Mlada Boleslav;Teplice
g_1_ALb5V2t3;Sigma Olomouc;Zlin
g_1_YolWNsHL;Mas Taborsko;FK Pardubice
g_1_WtWIEwv8;Hradec Kralove;Usti nad Labem
g_1_pQT6Hufk;Jihlava;Ceske Budejovice
g_1_OGSAGa9e;Varnsdorf;Prostejov
g_1_MH7dWJFm;Karlovy Vary;Vltavin
g_1_fsIekaMP;Brozany;Zivanice
g_1_tvEiju7J;Stechovice;Vysehrad
g_1_6wmhJY7I;Unicov;Valasske Mezirici
g_1_A927P9Ui;Vrchovina;Odra Petrkovice
g_1_IF9V7ikH;Midtjylland;FC Copenhagen
g_1_QDtVhkjs;Randers FC;Sonderjyske
g_1_zV6iJxo3;Aarhus;Aalborg
g_1_44uZi95m;Vendsyssel;Horsens
g_1_bRvwiTKg;Hobro;Vejle
g_1_McXRig7D;Fredericia;Thisted FC
g_1_z1L9GxpE;Helsingor;Naestved
g_1_rNxxAzNs;Hvidovre;F. Amager
g_1_EiKDFdaK;Koge;Nykobing
g_1_xpxt9fxl;Roskilde;Lyngby
g_1_xrJa0qUg;AB Copenhagen;Vanlose
g_1_0IZd1JFt;Avarta;Vejgaard
g_1_K2Sao2YK;Farum BK W;Odense Q W
g_1_x08rWdrf;Cibao;Atletico San Francisco
g_1_Od4vXxTm;Barcelona Atletico;Delfines Del Este
g_1_AD6jUzD6;Jarabacoa;Moca
g_1_dxVJH6lB;Mazembe;Dauphins Noirs
g_1_QoYcCGyh;Mont Bleu;Dragons
g_1_x2s8b3rn;Aucas;Ind. del Valle
g_1_CMQdinyJ;EL Nacional;Guayaquil City
g_1_YTzHdsDb;Mushuc Runa;Tecnico U.
g_1_bBr4aqTu;Delfin;LDU Quito
g_1_AFVoOL0d;El Daklyeh;Zamalek
g_1_SlyqYxO1;Aguila;FAS
g_1_6uzmXdw8;Metapan;Santa Tecla
g_1_UFOgEYGu;Brighton;Manchester City
g_1_tjScDhWo;Burnley;Arsenal
g_1_zDR1CCoh;Crystal Palace;Bournemouth
g_1_E3Q5BW0b;Fulham;Newcastle
g_1_WvLAAjG4;Leicester;Chelsea
g_1_AVJE9AVA;Liverpool;Wolves
g_1_WKz3IvEr;Manchester Utd;Cardiff
g_1_4hJI8UpH;Southampton;Huddersfield
g_1_IeNM7l0N;Tottenham;Everton
g_1_0KCR68FT;Watford;West Ham
g_1_MeWXhfS9;Doncaster;Charlton
g_1_YZkwXC5j;Mansfield;Newport Co
g_1_lGwiemts;Chorley;Spennymoor
g_1_rwHPvSe0;Woking;Welling
g_1_IJFpeVWo;Tulevik;Flora
g_1_02aYia5O;Tallinna Kalev;Kalju
g_1_OAZH3QvH;JK Jarve;Tammeka U21
g_1_IXYL2pfN;Legion;Levadia U21
g_1_2uyvrQAo;France U17;Czech Republic U17
g_1_0zceJtYp;Belgium U17;Netherlands U17
g_1_v7FsSHUM;B36 Torshavn;TB Tvoroyri
g_1_p8MYTw0A;IF Fuglafjordur;HB Torshavn
g_1_drQxTcFG;NSI Runavik;AB Argir
g_1_fwrL4hpo;HIFK;KuPS
g_1_IHjg9YyU;Mariehamn;Inter Turku
g_1_zg1lAEMN;Rovaniemi;Ilves
g_1_fL23LQ3o;Kiffen;JIPPO
g_1_hGOKdsRp;VJS;Lahden Reipas
g_1_8O67KpJi;MiPK;Sudet
g_1_2o6BJ4Yc;NJS;JaPS
g_1_d01odpfG;GrIFK;Tampere Utd
g_1_rqA4x8G9;JBK;Vaajakoski
g_1_GY1HZ50S;OLS Oulu;SJK Akatemia
g_1_MZ88ySVF;PK-37;GBK Kokkola
g_1_4bbDznoM;VPS 2;Hercules
g_1_jsezf4X5;Rennes;Guingamp
g_1_xIuVd6mm;Lille;Bordeaux
g_1_n9lqhr2I;Marseille;Lyon
g_1_CUClsQg8;Eintracht Frankfurt;Mainz
g_1_tdPJKFz1;Aue;Greuther Furth
g_1_A7oyTwTK;Duisburg;Heidenheim
g_1_4fGzVab8;FC Koln;Regensburg
g_1_roFvUJDE;Holstein Kiel;SG Dynamo Dresden
g_1_6wX6NHjr;Ingolstadt;Darmstadt
g_1_AVTNJZk7;Paderborn;Hamburger SV
g_1_KtyBMy6l;Sandhausen;Arminia Bielefeld
g_1_25QFLeLf;St. Pauli;Bochum
g_1_lbpuScrR;Union Berlin;Magdeburg
g_1_rXe4Qof2;Norderstedt;Hannover II
g_1_zRrjlkn9;TSV Havelse;Lupo-Martini Wolfsburg
g_1_h2wem91F;Luneburger Hansa;Jeddeloh
g_1_QFy3omWR;VfL Oldenburg;Werder Bremen II
g_1_2yTUt7vq;Hamburger SV II;St. Pauli II
g_1_voE4qG2I;Babelsberg;Erfurt
g_1_pOx9ftBJ;BFC Dynamo;Altglienicke
g_1_rJKeoxY5;Bischofswerdaer;Halberstadt
g_1_dMOapdmC;Furstenwalde;Auerbach
g_1_A5Mmmb3g;Meuselwitz;Berliner AK 07
g_1_dbtDg0QP;Nordhausen;Rathenow
g_1_hURrlvlm;Oberlausitz;Bautzen
g_1_ldLinIIa;Viktoria Berlin;Chemnitzer
g_1_fRZEs1yU;Hoffenheim II;Saarbrucken
g_1_f5xbz2v2;CFC Hertha;Brandenburger
g_1_Knpow4fq;Stendal;Lichtenberg
g_1_t2YgyrPe;Strausberg;Hertha Zehlendorf
g_1_Sl9Aq6HF;Torgelower Greif;Hansa Rostock II
g_1_88QuaoH2;Blau Weiss Berlin;Malchower
g_1_W6ZQpTVe;Chemie Leipzig;Luckenwalde
g_1_4xmzeDg3;Sandersdorf;Hohenstein-Ernstthal
g_1_dlRULvP7;VfR Neumunster;Frisia Risum-Lindholm
g_1_bg5DpO18;Inter Turkspor Kiel;Todesfelde
g_1_8UXkVVLD;HEBC Hamburg;Dassendorf
g_1_I3NPOTbs;Wedeler TSV;Wandsbeker Concordia
g_1_trWcT9jQ;Condor Hamburg;Altona
g_1_0SCUNmEm;TSV Buchholz 08;Pinneberg
g_1_nLWgUkyK;Teutonia Ottensen;SC Victoria Hamburg
g_1_vJBYM7Tg;Rugenbergen;Suderelbe
g_1_8hGxMRr0;Sasel;TuS Osdorf
g_1_6oFxfiOE;Vatan Bremen;Geestemunde
g_1_EBIphVhR;Habenhauser;Blumenthaler
g_1_zLJtgBwL;SFL Bremerhaven;Borgfeld
g_1_pnV8DjaF;Gifhorn;Oythe
g_1_lKy0FCU2;Hannoverscher SC;Uphusen
g_1_zHmIjTi2;Heeslinger;Hagen/Uthlede
g_1_S8epf2bf;Spelle-Venhaus;Hildesheim
g_1_v3PHYodt;Ahlen;Schalke II
g_1_zVIQWPQh;ASC 09 Dortmund;Eintracht Rheine
g_1_xfwjwSmP;FC Gutersloh;TuS Haltern
g_1_Ojk8ErBO;Holzwickeder SC;Ennepetal
g_1_SOeaG4tC;Schermbeck;Brunninghausen
g_1_Amo4FOeI;Siegen;Hammer SpVgg.
g_1_dvKMX5Bn;Westfalia Rhynern;Paderborn II
g_1_t8ciIQBa;Westfalia Herne;Gievenbeck
g_1_lYdeHpR5;Erndtebruck;Sprockhovel
g_1_E7nK571Q;Neu-Isenburg;Hadamar
g_1_jTwn1R9s;Eddersheim;Ginsheim
g_1_v5U0WHLF;TuS RW Koblenz;Pfeddersheim
g_1_0EVdXc69;Engers;Jagersburg
g_1_4vrtsu2n;Frechen;FC Viktoria 08
g_1_6gPxrLnt;Bergisch Gladbach;Alfter
g_1_Y5fOOcnI;Duren;Friesdorf
g_1_UXmXMyHU;Freialdenhoven;Breinig
g_1_QgWluJWb;Deutz;VfL Vichttal
g_1_fTzgvwn5;Siegburger;Wegberg-Beeck
g_1_M3jSsEfM;Bocholt;Homberg
g_1_G6mKqzQ9;Hilden;SW Essen
g_1_Sp7PNh3j;Jahn Hiesfeld;SC Velbert
g_1_KvfBodec;Meerbusch;FSV Duisburg
g_1_xGlGpGA3;Schonnebeck;Germania Ratingen
g_1_Es3LOYmp;Speldorf;Union Nettetal
g_1_tle7nxti;SSVg Velbert;Kleve
g_1_ATnOrfuG;TuRU Dusseldorf;Baumberg
g_1_4SuXtY9S;FC Monheim;Dusseldorf-West
g_1_UZA0joIc;FSV Frankfurt U19;Karlsruher U19
g_1_zD5AIHrG;B. Monchengladbach W;Bayern Munich W
g_1_lG9EHybM;Bayer Leverkusen W;SGS Essen W
g_1_rw9IGeDS;Duisburg W;Frankfurt W
g_1_hlG5JcT9;Freiburg W;Werder Bremen W
g_1_QcCsBZzj;Sand W;Hoffenheim W
g_1_pnepCFLq;Wolfsburg W;Potsdam W
g_1_d62e2Bvm;Lynx;Mons Calpe
g_1_fqgukyhE;Ionikos;Aiolikos
g_1_pEBlSDp1;Chrisoupolis;PO Triglia
g_1_2k6gRXa7;Thesprotos;Niki Volos
g_1_GYewrSsc;Comunicaciones;Guastatoya
g_1_lSyaAr25;Arcahaie;Fica
g_1_AsQ78MWH;Mirebalais;Cosmopolites
g_1_zPXfBOna;Ouanaminthe;Cavaly
g_1_WjR392HB;Racing des Gonaives;Racing Haitien
g_1_zVChnAWb;UPNFM;Olimpia
g_1_KlNKid47;Yuen Long;Southern District
g_1_GGOm0myD;Budafoki;Balmazujvaros Sport
g_1_2DpJFSz0;Budaorsi SC;Siofok
g_1_dzpNEnj6;Cegledi;Vasas
g_1_dC1zOjTJ;Dorogi;Kaposvar
g_1_Sfh6IUjs;Gyirmot;Bekescsaba 1912
g_1_6oiAHl6m;Kazincbarcikai;Gyor
g_1_OMoFG8Lg;Mosonmagyarovari TE;Csakvari
g_1_AF5vNArQ;Soroksar;Nyiregyhaza
g_1_f7Nia7jJ;Vac;Duna Aszfalt
g_1_8AmRD65C;Zalaegerszegi;Monori
g_1_WGtzv5Dk;MTK Hungaria W;Gyor W
g_1_CWa3qRkS;Astra Hungary W;Ferencvaros W
g_1_CKckOs5P;KR Reykjavik;Fylkir
g_1_bBQIWvIP;Al Bahri;Al Zawraa
g_1_4zxea18S;Maccabi Petah Tikva;Hapoel Tel Aviv
g_1_6qOMfLGq;Moadon Sport Ashdod;Hapoel Haifa
g_1_ADxi0sgM;Sakhnin;Shmona
g_1_l2USZ9pL;Torino;Sassuolo
g_1_UDoQYTaR;Frosinone;Udinese
g_1_CdaOWLCq;Sampdoria;Empoli
g_1_GlWKyWF8;Spal;Napoli
g_1_KM2WUasd;AS Roma;Juventus
g_1_r3lHHbR7;Siena;Novara
g_1_WQaHuRc7;Sudtirol;Sambenedettese
g_1_nye8JKde;Carrarese;Pro Patria
g_1_zcy3u2JE;Potenza;Rende
g_1_QTd9smTf;Ravenna;L.R. Vicenza
g_1_hYV7vMYK;Virtus Francavilla;Casertana
g_1_x40Dt7r1;Monza;Fermana
g_1_d6xatr48;Reggina 1914;Monopoli
g_1_UapDIvC1;Pro Vercelli;Alessandria
g_1_l0J9xDWp;Adriese;Virtus Bolzano
g_1_6F6KfChT;Audace Cerignola;Savoia
g_1_237i1d9o;Feltre;Campodarsego
g_1_UFxwrZ8N;Mantova;Caronnese
g_1_v3yZDZhi;Marsala;Portici 1906
g_1_WdE7cE8A;Matelica;Sangiustese
g_1_bV00azvb;Ponsacco;Montevarchi Calcio
g_1_niXssgOT;Pro Sesto;Rezzato
g_1_AmDBdYNG;Recanatese;ASD Pineto Calcio
g_1_OjwoBXxA;Reggio Audace;Fanfulla
g_1_jPwZrFgH;Savona;Ligorna
g_1_xMa4bfg4;Seravezza Pozzi;Gavorrano
g_1_OfgnjW0p;Taranto;Bitonto
g_1_2ohjkjGj;Turris;Castrovillari
g_1_d2vVqevB;Unione Sanremo;Inveruno
g_1_IiqAhSQD;ArzignanoChiampo;Como
g_1_v7XIj6eQ;Bari;Picerno
g_1_drrEintK;Pianese;Cesena
g_1_E5XLe0sP;Sampdoria U19;AS Roma U19
g_1_UHBKiWOg;Sassuolo U19;Atalanta U19
g_1_A5Q1zlKh;Yamaga;Sapporo
g_1_hUF6Z7Zb;Vegalta Sendai;Hiroshima
g_1_WKEAYRl5;FC Tokyo;Iwata
g_1_voIIW5JH;Kobe;Kashima
g_1_0fJEXo4B;Shimizu;Kawasaki Frontale
g_1_KrWnFwlp;Nagoya;Urawa
g_1_WIZjEc3j;Shonan;Oita
g_1_KK5nNyuh;Kyoto;Okayama
g_1_4CNaaYno;Montedio Yamagata;Chiba
g_1_6H1rOHPo;Yokohama;Machida
g_1_Es5jMefb;Kashiwa;Tokushima
g_1_hY3fLF94;Tochigi;Kofu
g_1_l0c3JgvH;Ehime;Kagoshima Utd
g_1_A9baKZOA;Gifu;Kanazawa
g_1_Ms7p4aXP;Albirex Niigata W;Nippon Sport Science University W
g_1_vNgCaJus;Beleza W;Vegalta Sendai W
g_1_v7qULRtI;Shakhtar Karagandy;Zhetysu Taldykorgan
g_1_zFnDP9sg;Kaisar Kyzylorda;Tobol
g_1_K4cb4aBp;Aktobe;Okzhetpes
g_1_hjsIOTda;Atyrau;K. Almaty
g_1_EFUAfJSP;Posta Rangers;Vihiga United
g_1_OOhoPFFQ;Sony Sugar;Leopards
g_1_IqZVkwys;Kakamega Homeboyz;Western Stima
g_1_zccWxyGr;Mathare Utd.;Mount Kenya United
g_1_QglGYy66;Tusker;Nzoia Sugar
g_1_zPV6eaDJ;Zoo;Ulinzi Stars
g_1_jcXwlH5g;Gor Mahia;Sofapaka
g_1_SAhRKu3H;Akademia-Lider;Ilbirs
g_1_pn3MLLmB;FK Kara Balta;Alga
g_1_6wJ4aEOu;Jelgava;RFS
g_1_63nbvVhU;Spartaks;FK Liepaja
g_1_pUH8bYwn;Metta/LU;Ventspils
g_1_Iw4gR2Z5;Atlantas;Stumbras
g_1_UD7cQMlC;FK Panevezys;Palanga
g_1_IuaAT0S5;Nevezis Kedainiai;Dziugas Telsiai
g_1_jgcIRvcI;FC Pakruojis;Siauliai FA
g_1_61u5krkP;BFA Vilnius;Riteriai 2
g_1_xpWzpMCn;Mazeikiai;Zalgiris 2
g_1_nmTTns04;Benfica;Mondorf
g_1_CUzHkqGo;Differdange;Fola
g_1_YqPPmNpb;Ettelbruck;Union Titus Petange
g_1_jLZKl3Vi;Hostert;Dudelange
g_1_nkK5rS8I;Jeunesse Esch;Niedercorn
g_1_4QU0q8gC;Rumelange;Racing Luxembourg
g_1_OEsZQawo;Victoria Rosport;UNA Strassen
g_1_00UT7GOc;Negeri Sembilan;Terengganu 2
g_1_ncQP8d9i;Selangor United;Johor DT II
g_1_tM6lQDTG;Gzira;Valletta
g_1_h84mq3W2;U.A.N.L.- Tigres;Pachuca
g_1_SUC1Lavd;Club Leon;Club Tijuana
g_1_fem9c496;Sfintul;Speranta Nisporeni
g_1_lInDdOOC;Zimbru Chisinau;Sheriff Tiraspol
g_1_r38pwqyn;Raja Casablanca;Mouloudia Oujda
g_1_YHvpskZE;Ajax;Utrecht
g_1_OncgKRR1;AZ Alkmaar;PSV
g_1_pdbkL7Ce;Feyenoord;Den Haag
g_1_riUJzmCr;Groningen;Sittard
g_1_IZRhMmck;Heerenveen;Breda
g_1_C8wlt9lL;Heracles;Excelsior
g_1_trrhuT3R;Vitesse;Graafschap
g_1_xjoyqB42;Willem II;FC Emmen
g_1_jgkurVJ8;Zwolle;Venlo
g_1_zLTWyGYp;GOES;EVV
g_1_86DjdpKa;HV & CV Quick;JVC '31 Cuijk
g_1_UL1afOlC;Rosmalen;USV Hercules
g_1_zBQIaJQi;Blauw Geel;HBS
g_1_dlcElgIj;Dongen;Westlandia
g_1_OfodDxei;HSC '21;UNA
g_1_4jIZeyQG;Jong Volendam;OSS '20
g_1_CGLsfFfT;Oostzaan;ADO 20 Heemskerk
g_1_rXiEbclt;Diriangen;Esteli
g_1_fDGuLGoq;Akwa United;Yobe Stars
g_1_2N3ywLWm;Bendel;Katsina Utd
g_1_v1IiIEV1;El Kanemi;Delta Force
g_1_M9VELJ1D;Enyimba;Wikki Tourist
g_1_t6dzsb82;Heartland;Abia Warriors
g_1_Y3FqKz1k;Kano Pillars;Go Round
g_1_zDJdp3vE;Kwara;Rivers United
g_1_lGN0qNgK;Lobi Stars;Enugu Rangers
g_1_WvD5rs9Q;MFM FC;Remo Stars
g_1_SQEmJfGe;Plateau United;Nasarawa
g_1_YmaXw1Hs;Sunshine Stars;Niger Tornadoes
g_1_M3U3tDZt;Costa Rica U17;Canada U17
g_1_2JmXoZBJ;USA U17;Panama U17
g_1_z3jitQJE;Haiti U17;Honduras U17
g_1_GMPbOwYo;Pobeda;Shkendija
g_1_Uou4LyI4;Rabotnicki;Makedonija GP
g_1_AqP2Ncmh;Renova;Akademija Pandev
g_1_8xv8KeXA;Shkupi;Belasica
g_1_lzO6MH2b;Sileks;Vardar
g_1_h8dOpbuQ;Haugesund;Bodo/Glimt
g_1_bkZjtIms;Molde;Mjondalen
g_1_EHcKovQJ;Ranheim;Valerenga
g_1_Q14xNfmJ;Sarpsborg 08;Kristiansund
g_1_nB5YNzYC;Tromso;Odd
g_1_Chweux3m;Stabaek;Brann
g_1_WvPrZYAH;Strommen;Aalesund
g_1_67Ydjzth;Jerv;Ull/Kisa
g_1_v5SjXCuU;Kongsvinger;Tromsdalen
g_1_0UX0kfeb;Nest-Sotra;Start
g_1_tEEISWmo;Notodden;Ham-Kam
g_1_prTnYhQN;Sandnes;Sandefjord
g_1_SGZhiGQo;Skeid;Raufoss
g_1_GI1avbSI;Brattvag;Vidar
g_1_f3DjtKc6;Levanger;Egersunds
g_1_xS2euvDC;Stjordals Blink;Hodd
g_1_rPgo21KP;Halden;Bryne
g_1_QHbU9bym;Alta;Sotra
g_1_Ys2x8x6a;Elverum;Mjolner
g_1_bcobKPNt;Vardeneset;Pors Grenland
g_1_xfuXO5FP;Storm BK;Staal Jorpeland
g_1_IXQhEX65;Stromsgodset 2;Fana
g_1_WGOtHZMn;Fjora;Lysekloster
g_1_0dGcDiMB;Valdres;Sogndal 2
g_1_v9SIWwYg;Finnsnes;Lillestrom 2
g_1_zyMRUH26;Junkeren;Floya
g_1_UJKWFwUA;Arna-Bjornar W;Kolbotn W
g_1_E3MCitXc;Guarani;Sol de America
g_1_hfLGj0n4;Cerro Porteno;Deportivo Santani
g_1_zwThBAKa;Sport Huancayo;Alianza Huanuco
g_1_lMQtECzs;Cesar Vallejo;Molinos El Pirata
g_1_2PUpDWkm;Dep. Municipal;Garcilaso
g_1_0z3l8mdL;Piast Gliwice;Jagiellonia
g_1_nXbp9TtF;Legia;Pogon Szczecin
g_1_QHAyBkC2;Lechia Gdansk;Zaglebie
g_1_AwKJEnmi;GKS Belchatow;Widzew Lodz
g_1_pW2UiGCC;Korona Kielce U18;Slask U18
g_1_IRLIbMKr;Chaves;Setubal
g_1_beKKIsCE;Guimaraes;Belenenses
g_1_ClLMctzk;Nacional;FC Porto
g_1_0A1HJNd8;Rio Ave;Benfica
g_1_bRW2YT00;Famalicao;Oliveirense
g_1_rFYEVRpJ;FC Porto B;Braga B
g_1_G2sbZ9of;Academica;Covilha
g_1_xCrfzjWm;CD Cova da Piedade;Varzim
g_1_4OZAW7VC;Mafra;SC Farense
g_1_Ch7Kt67I;Chaves B;Cacadores Taipas
g_1_E9g9MU74;1º Dezembro;Redondense
g_1_bmCvn1qb;AD Fafe;Vizela
g_1_dhoQIn7T;Amora;Ferreiras
g_1_E1Hilz3i;Anadia;Oleiros
g_1_pC8ZXEIA;Caldas;Torreense
g_1_ryEjqaTG;Coimbroes;Meda
g_1_OdKQZzlb;Fatima;Alcains
g_1_bFCwXYXG;FC Alverca;Loures
g_1_drfRxc6p;FC Cesarense;Amarante
g_1_0C8erJrN;Gafanha;SC Espinho
g_1_M3E7q8Na;Gondomar;Agueda
g_1_Gjq7oUhm;Leca;Penalva do Castelo
g_1_WSAoVC2T;Leiria;SB Castelo Branco
g_1_8WEryUMc;Louletano;Sacavenense
g_1_rDF3pl8g;Lusitania FC;Paredes
g_1_OYssQRcc;Maria de Fonte;CDC Montalegre
g_1_UTHFsnhC;Mirandes;SC Mirandela
g_1_UuGvxA7i;Montijo;Armacenenses
g_1_MZhDLlNA;Moura AC;Olhanense
g_1_ANFroLb4;Pedras Rubras;Cinfaes
g_1_EXXiE6Fp;Pinhalnovense;Sporting Ideal
g_1_rksMJSiN;Real SC;Casa Pia
g_1_4pFnpuEA;Sanjoanense;Lusitano FCV
g_1_2mJUYf34;Santa Iria;Oliveira Hospital
g_1_xYNVmNEo;Sao Martinho;Merelinense
g_1_0QiHK8xH;SC Angrense;Oriental
g_1_hOWeDQUj;SC Praiense;Vasco da Gama
g_1_hxCsWhmN;Sertanense;Peniche
g_1_0bT9PjQj;Sintrense;Macao
g_1_6cXoPoD3;Torcatense;Felgueiras
g_1_lIUmPwxo;Trofense;AD Oliveirense
g_1_v37aswbT;U. Madeira;Maritimo B
g_1_M7U5QWAp;Vilafranquense;Nogueirense
g_1_GOMZnsUi;Vilaverdense;Pedras Salgadas
g_1_AmgpcyHF;Albergaria/Durit W;CF Benfica W
g_1_Iuywacn3;Boavista W;Estoril Praia W
