g_1_SzQDZAeD;Argentino de Merlo;Real Pilar
g_1_lYbx3Oh6;Donn;Mandalskameratene
g_1_4UjodxPC;Al Khaleel;Wadi Al-Nes
g_1_IDhwbbf0;Jabal Al Mukaber;Al Quds
g_1_d4iscI96;Markaz Tulkarm;Merkaz
g_1_rulEIhSP;Ayacucho;Cajamarca
g_1_p064VGgn;Arka Gdynia;Zaglebie Sosnowiec
g_1_SrxjCggO;Wisla;Korona Kielce
g_1_WhULebDm;Cracovia U18;Motor Lublin U18
g_1_n7DZfvK7;Aves;Moreirense
g_1_0vuENXir;FC Botosani;Voluntari
g_1_d6YMLBMf;Din. Bucuresti;Gaz Metan Medias
g_1_r3AHVxp0;Arges Pitesti;Ripensia Timisoara
g_1_Gz7accJk;Orenburg;Ural
g_1_jgNK4uRF;Dynamo Moscow;FK Rostov
g_1_bJQS2JeS;FK Anzi Makhackala;Arsenal Tula
g_1_403ebw4q;Lokomotiv Moscow;Rubin Kazan
g_1_2Rm0YJRN;Anzhi U21;Arsenal Tula U21
g_1_lOqdZaCH;Krasnodar U21;Yenisey U21
g_1_WEuvBjxd;Fiorentino;Folgore
g_1_ljjZBWMk;Juvenes/Dogana;Murata
g_1_fHCbfQ1d;Al Jabalain;Al-Shoalah
g_1_M3EjdnXq;Al-Nahda;Al-Washm
g_1_GQDfe6nj;Hajer;Al Taee
g_1_KAWxITg3;Jeddah;Al Orubah
g_1_tKXYI9vc;Najran;Al Jeel
g_1_EeEkkDqb;Aberdeen;Hearts
g_1_hW2kr24A;Proleter;FK Crvena zvezda
g_1_Kb4B8ART;Home Utd;Tampines
g_1_W2yvH2kC;Lok. Kosice;Trebisov
g_1_lCmbYde1;Domzale;ND Gorica
g_1_KxqfZxte;Rudar;Aluminij
g_1_SSDePCHA;Godoy Cruz (Arg);U. De Concepcion (Chi)
g_1_AkYAv4vC;Olimpia Asuncion (Par);Sporting Cristal (Per)
g_1_UgPmjtMQ;Boca Juniors (Arg);Athletico-PR (Bra)
g_1_6FGFo0Us;Wilstermann (Bol);Deportes Tolima (Col)
g_1_tEhaUfbP;Sangju Sangmu;Seongnam
g_1_lGkbOH8d;Granada CF;Tenerife
g_1_YcYZnoTE;Roda;Jove
g_1_4pNoM0hq;Tamaraceite;Las Palmas C
g_1_UiGJK3GF;Guadalajara;Atl. Ibanes
g_1_Uo7ehJfl;Hammarby;Sirius
g_1_dnWBrX2d;GAIS;Frej
g_1_UR00185p;Uddevalla;Stenungsunds
g_1_MFS09iv2;Bromolla;Karlskrona
g_1_lUrqfl3r;Servette;Lausanne
g_1_z9eHQ5UN;Al Karamah;Al-Ittihad
g_1_8dQVqTUo;Al Majd;Al Nawaeir
g_1_nmPZrmph;Al Taliya;Al-Sahel
g_1_6kuysRE4;Al Wahda;Tishreen
g_1_fgxlLqho;Herafio Halab;Al Shorta
g_1_SbtXs7ab;Hottin;Wathbah
g_1_CMQ7tuwm;Antalyaspor;Bursaspor
g_1_Y5lYnjyg;Kizilcaboluk Spor Kulubu;Erokspor
g_1_MVpUmWLn;Nevsehirspor;Tire
g_1_OfsoplLB;Serik Belediyespor;Karacabey Birlikspor
g_1_fLxsoU55;Yeni Corumspor;Kocaelispor
g_1_S8oQlC6t;Ergene Velimese;Nazillispor
g_1_GUwwnAja;Karsiyaka;Van Buyuksehir Bld.
g_1_Gzkv1WtD;Ahal;Altyn Asyr
g_1_YBaZ1CR6;Energetik;FC Asgabat
g_1_ppSZ5vSr;Inhulets;Obolon Brovar Kyjev
g_1_Clg6boFJ;Mykolaiv 2;Kremin
g_1_pxxvYrkt;Kalush;Nyva Vinnytsya
g_1_AqFNZ1xJ;Tavriya;Krystal
g_1_viHJPrFl;Dynamo Kiev U21;Zorya U21
g_1_8QLNO2Uf;Shakhtar Donetsk U21;Oleksandriya U21
g_1_OzazMLVA;Desna U21;Lviv U21
g_1_IcbvLuoH;Mariupol U21;Ch. Odessa U21
g_1_pp0WM1G4;Olimpik Donetsk U21;Karpaty U21
g_1_zkVJMy13;Al Dhafra;Al Fujairah
g_1_dbWFNHoc;Al Nasr;Shabab Al-Ahli Dubai
g_1_dME2ED8q;Bani Yas;Ittihad Kalba
g_1_UBUNLeG9;Emirates Club;Al Jazira
g_1_KYtfVpLt;Sogdiana;Andijan
g_1_jJ6pBszP;Nasaf Qarshi;Qizilqum
g_1_SCNtfCr1;Binh Duong;Sai Gon FC
g_1_l6WaEofi;Newtown;Bala
g_1_KvQYQzZO;Mexico U20 W;North Korea U20 W
g_1_Mq4HkKBP;France U19 W;Haiti U20 W
g_1_OhjqovKt;Gabon U20 W;Japan U19 W
g_1_rTkvIZNQ;Malawi;Eswatini
g_1_2HYtJF8K;Seychelles;Botswana
g_1_EVCTxPg8;Laci;Kamza
g_1_KxV8pR1m;Besa Kavaje;Oriku
g_1_2ZNOzHYL;Beselidhja Lezha;Korabi Peshkopi
g_1_xEPDqoHg;Egnatia Rrogozhine;Lushnja
g_1_KAYJycJF;Erzeni;Dinamo Tirana
g_1_jgTnJ6P9;Cerrik;Tomori Berat
g_1_A1vV81p5;Koplik;Burreli
g_1_YHIiIQvG;Pogradeci;Apolonia Fier
g_1_SxkQ9sVb;Vora;FC Shenkolli
g_1_nmTX4ciR;Bel Abbes;Mlila
g_1_2aRL7a78;Bordj Bou Arreridj;CR Belouizdad
g_1_EZUP6JME;Constantine;JS Kabylie
g_1_0f98beUf;Hussein Dey;ES Setif
g_1_6X94ayFl;MO Bejaia;Paradou
g_1_8dUT5wxL;Saoura;MC Alger
g_1_EcDCcFq1;Tadjenant;Oran
g_1_StB00Har;USM Alger;Medea
g_1_h8SVYiSk;Encamp;Ordino
g_1_MsXZXBsd;Lusitanos;UE Santa Coloma
g_1_zifJysK4;C.R.D. Libolo;Progresso
g_1_2wdBw3kh;Saurimo;Santa Rita
g_1_p216vqzn;Sporting de Cabinda;ASA
g_1_UqCSbHNC;Tigre;Racing Club
g_1_C0oYBqF9;Nueva Chicago;Ind. Rivadavia
g_1_GYiPD5pc;Sarmiento Junin;Brown Adrogue
g_1_ETXT6XYN;Talleres (R.E);Tristan Suarez
g_1_W4rP7DJH;Comunicaciones;Atletico Atlanta
g_1_pltDAFZb;Defensores Unidos;Acassuso
g_1_AHY0DHkt;Fenix;CA Estudiantes
g_1_MNfDyXQ0;Argentino de Rosario;Atlas
g_1_tvEebfYD;Juventud Unida S. M.;Deportivo Paraguayo
g_1_lAd5wgdl;Lugano;Def. de Cambaceres
g_1_YyyG17RG;Shirak Gyumri;Gandzasar
g_1_tCoChkrt;Wollongong Wolves;Rockdale City Suns
g_1_8OGcZRsI;Sutherland Sharks;Sydney FC U21
g_1_jm62YocO;APIA Tigers;Manly Utd
g_1_GCIjurP6;Hume City;Melbourne Knights
g_1_OxMbwMgJ;Altona Magic;South Melbourne
g_1_AZHfv2vD;Heidelberg Utd;Avondale FC
g_1_Qs0s25WJ;Dandenong Thunder;Green Gully
g_1_jVdCmqPi;Taringa;The Gap
g_1_86iHn3vb;University of Queensland;Toowong
g_1_tKkPps9A;Albany Creek;North Pine
g_1_ncjLoNg4;Caboolture;Brisbane K.
g_1_fNgTq1OG;Acacia Ridge;Centenary Stormers
g_1_r3lJCHvB;Cockburn City;Perth Glory U21
g_1_GGnRAe9N;ECU Joondalup;Floreat Athena
g_1_xQmNByfH;Perth SC;Armadale
g_1_l4HuUI9o;Rockingham City;Bayswater
g_1_z1Tc5ZWp;Sorrento;Balcatta
g_1_YisW9FOT;Stirling Lions;Inglewood Utd
g_1_nHtKB5BB;NE Metrostars;West Adelaide
g_1_E3rCDRta;Blue Eagles;Adelaide Raiders
g_1_hfsGCod5;Croydon Kings;Campbelltown City
g_1_0KpOAPQH;Adelaide Olympic;Para
g_1_YcSdrYMT;Peninsula;Moreton Bay Utd
g_1_0tMI8qgP;SWQ Thunder;Brisbane City
g_1_2k8p431t;Magpies Crusaders;Brisbane U21
g_1_z7EOwhVp;Western Pride;Brisbane Strikers
g_1_Iqa5c0YA;Cooma;Riverina
g_1_dKsM8NqM;Hamilton Olympic;Maitland
g_1_CWR1jsCh;Magenta (Nca);Hienghene (Nca)
g_1_dUv13dur;Altach;Admira
g_1_AXr52Gfl;Hartberg;Mattersburg
g_1_4fr91zAf;Rapid Vienna;Wacker Innsbruck
g_1_GbDfE900;Ried;Lafnitz
g_1_dMd92nOk;AC Wolfsberger (Am);Bad Gleichenberg
g_1_xv9Qaj7F;Union Gurten;Stadl Paura
g_1_nZuG262M;Bischofshofen;Dornbirn
g_1_EPc9qRep;Johann;Kitzbuhel
g_1_hGdDroBj;Langenegg;USK Anif
g_1_Igla6l3c;Wals-Grunau;Hohenems
g_1_GhKGrYzb;Altenmarkt W;Bergheim W
g_1_bNYu5jUc;Sabail;Keshla
g_1_40Zy6WEi;Sabah Baku;Zira
g_1_fkSl3UbA;SumQayit;Gabala
g_1_xEXq4Aq4;Neftci Baku;Qarabag
g_1_AFsBFc6G;Isloch Minsk;Energetik-BGU
g_1_zcRk8Fbj;Dnepr;Neman
g_1_SjEyWIjc;Brest;Gorodeja
g_1_ILWp9eqp;Zhodino;Slutsk
g_1_8SGu8s4E;Beerschot Wilrijk;Charleroi
g_1_2kGq71JK;Oostende;Westerlo
g_1_j3d1tyAt;Waasland-Beveren;Cercle Brugge KSV
g_1_YRo6uePn;Waregem;Kortrijk
g_1_CIpAvFvg;St. Gilloise;Mouscron
g_1_4Ab8FfpS;Deinze;Thes Sport
g_1_QJa4GzVL;Virton;Lierse K.
g_1_WYazJYIh;RSC Anderlecht W;Genk W
g_1_K05cvDNM;Bolivar;Real Potosi
g_1_tA6gug8G;Always Ready;Royal Pari
g_1_SSg0F7aJ;Celik Zenica;Zrinjski
g_1_tzAGHctm;Mladost DK;Siroki Brijeg
g_1_2qBCIwRt;Radnik Bijeljina;Zeljeznicar
g_1_lxedGmpD;Sloboda;Krupa
g_1_W0KtOa3J;Tuzla City;FK Sarajevo
g_1_p4OpNJIP;Zvijezda 09;GOSK Gabela
g_1_EFONEksB;Bratstvo Gracanica;NK Novi Travnik
g_1_6kLFGBCb;Capljina;Gradacac
g_1_fBicbUdU;Jedinstvo Bihac;Olimpic Sarajevo
g_1_WWS2JDSu;Kakanj;NK Vitez
g_1_rylgaAsO;TOSK Tesanj;Gorazde
g_1_ANR6IXsn;Velez Mostar;HNK Orasje
g_1_0CKJFVR4;Visoko;Metalleghe
g_1_SbMBHich;Zivinice;Igman K.
g_1_6cwq8eh0;Kozara;Podrinje Janja
g_1_OYmv9ywf;Prijedor;Borac Banja Luka
g_1_prkzAHNm;Zeljeznicar Banja Luka;Sloga Crnjelovo
g_1_S0NZoBz5;Drina Zvornik;Tekstilac
g_1_APSUniLb;Mrkonjic Grad;Slavija
g_1_6iMwoVkB;Sutjeska Foca;Modrica
g_1_S4mOPJYs;Fluminense;Botafogo RJ
g_1_boqNLWmh;Bragantino;Atletico GO
g_1_ImaOJAI4;Vila Nova FC;Ponte Preta
g_1_441zH82N;Criciuma;America MG
g_1_lxw7BnQp;Sport Recife;Figueirense
g_1_IiTlppw1;Volta Redonda;Tombense
g_1_QglAiSpR;Luverdense;Remo
g_1_radAwXCG;Palmeiras U20;Cruzeiro - MG U20
g_1_E74Q7aoM;Santos W;Flamengo W
g_1_WrFL8uWF;Internacional W;Vitoria W
g_1_Uw95DG44;Botev Plovdiv;Beroe
g_1_Q52EBfZG;CSKA Sofia;Ludogorets
g_1_xMHnCoul;Litex Lovech;Montana
g_1_619383vD;Arda;Pomorie
g_1_by6eAP90;Kariana Erden;Dobrudzha
g_1_6wRGH7HQ;Nesebar;Lok. Sofia
g_1_8nDrDRPs;Pirin Blagoevgrad;Chernomorets Balchik
g_1_GWU0q1gH;Electricite Du Cambodge;NagaWorld
g_1_S6Y4rL8N;Visakha;Boeung Ket
g_1_AVN9suOT;National Defense;Sports Academy
g_1_UuQY9crs;Valour;HFX Wanderers
g_1_4dweWTEi;Antofagasta;Huachipato
g_1_f5fkt5rG;Deportes Iquique;Union La Calera
g_1_0v5ZPngB;Curico Unido;O'Higgins
g_1_IwQzbeo9;Deportes Temuco;Magallanes
g_1_Kh7XbyW2;La Serena;S. Wanderers
g_1_vgEqdZFL;Melipilla;Barnechea
g_1_ld3CRl47;Dalian Yifang F.C.;Wuhan Zall
g_1_6XXdZ0ND;Chongqing Lifan;Beijing Renhe
g_1_Sn2GQ8JD;Hebei;Henan Jianye
g_1_EqMTscqr;Guizhou Zhicheng;Nantong Zhiyun
g_1_hzLXtHbl;Heilongjiang Lava;Sichuan Annapurna
g_1_l2EtueT0;Nei Mongol;Zhejiang Greentown
g_1_pUVcmJLK;Shaanxi Changan;Meizhou Hakka
g_1_rPDpvFr7;Xinjiang Tianshan;Beijing EG
g_1_d4Z1nwyR;Guangdong Tigers;Qingdao Huanghai
g_1_ABFxtyEf;Liaoning;Shanghai Shenxin
g_1_jRvYtXbp;Baoding Yingli Yitong;Shanxi Xindu
g_1_4032B9qt;Hangzhou Wuyue;Guangxi Baoyun
g_1_WMHK4zii;Jiangsu Yancheng;Shenyang Urban FC
g_1_I376ATbn;Lhasa Chengtou;Kunshan
g_1_CQ6A9mEh;Nanjing Shaye;Zhejiang Yiteng
g_1_rcLO3f6c;Qingdao Red Lions;Qingdao Jonoon
g_1_UHwxtiEj;Xian Daxing Chongde;Hebei Elite
g_1_xKKS2EL3;Yanbian Beiguo;Dalian Chanjoy
g_1_GAJW1YzA;Jilin Baijia;Yinchuan Helanshan
g_1_jH5E87Tb;Wuhan Three Towns;Fujian Tianxin
g_1_WSMB7Rr5;Yunnan Kunlu;Jiangxi Liansheng
g_1_YoEy1hjG;Beijing Technology;Inner Mongolia
g_1_CxDu0C5M;Zibo Sunday;Taizhou Yuanda
g_1_AJLF6obB;Hubei Chufeng Heli;Hunan Billows
g_1_4tLJ55DH;Chengdu Qianbao;Sichuan Jiuniu
g_1_IqPN4PSN;Suzhou Dongwu;Shenzhen Pengcheng
g_1_48ZtAYu3;U. Magdalena;Dep. Pasto
g_1_6ilISLfn;Lok. Zagreb;Osijek
g_1_S0kET1ut;Rijeka;D. Zagreb
g_1_h2cPK1t4;Zadar;Osijek 2
g_1_Sf0DN3do;Sibenik;Kustosija
g_1_MRtI4wW9;Omonia;APOEL
g_1_dKq67uni;AEL Limassol;Nea Salamis
g_1_KQ2bCJ46;Ayia Napa;Anagennisi Derynia
g_1_C0ajEuzf;Chloraka;Othellos Athienou
g_1_joBsG15s;Karmiotissa;Ol. Nicosia
g_1_Ghd7AcZI;M.E.A.P. Nisou;Achnas
g_1_tz4fDak0;Paeek;Aris
g_1_2kh3BwKC;Sotiras;Omonia Aradippou
g_1_Y90nFLKm;Thoi Lakatamias;ASIL Lysi
g_1_UepkZtCJ;Zakakiou;Voroklinis
g_1_6DLt6Ref;Jablonec;Ostrava
g_1_zmQp5oB0;Sparta Prague;Liberec
g_1_SMx13pcA;Bohemians 1905;Slovacko
g_1_6Dy524CG;Opava;Dukla Prague
g_1_0zy91ORM;Pribram;Karvina
g_1_S8mzN1WR;Chrudim;Vlasim
g_1_fekSON1F;Sokolov;Znojmo
g_1_21v2ILvq;Trinec;Zizkov
g_1_hjXEFJO1;Vitkovice;Brno
g_1_8Y98THa6;Benesov;Kraluv Dvur
g_1_lpR5SyFC;Prevysov;Olympia Radotin
g_1_zLB0VwVg;Dobrovice;Zapy
g_1_0OfOpJUt;Velvary;Domazlice
g_1_OEcmKEhC;Dolni Benesov;Hlucin
g_1_CvfqLfw6;Rymarov;Hodonin
g_1_r3AL16xo;Frydek-Mistek;Lisen
g_1_hYiCOTqb;Uhersky Brod;Hulin
g_1_MebP87MD;Brabrand;Skive
g_1_za2T7RyK;Jammerbugt;Aarhus Fremad
g_1_UL1X6oiQ;Middelfart;Hellerup
g_1_biKe1PEm;Bronshoj;Ringkobing
g_1_WUma25as;Kolding IF;B.93
g_1_x42zpIp6;Tarup-Paarup;Dalum IF
g_1_lv6vqx0C;Kjellerup;Odder
g_1_AgfmsGUO;BK Frem;Slagelse B&I
g_1_b9mV5a7P;Hillerod;Sydvest
g_1_W2eqrdFI;Marienlyst;Skovshoved
g_1_j1gcEFiP;Brondby W;Fortuna Hjorring W
g_1_AozU8gFn;KoldingQ W;BSF W
g_1_SMpP9Zat;Thisted FC W;VSK Aarhus W
g_1_OzZjmO38;Naesby W;Aalborg W
g_1_xvwenrJE;B93 W;Vildbjerg W
g_1_tYEZXIDs;Universidad O&M;Vega Real
g_1_WM7nVGc0;San Cristobal;Atlantico
g_1_KQWCcNch;Dep. Cuenca;Macara
g_1_SjzLe1S4;Fuerza A.;America de Quito
g_1_dCRsP1oj;Al Ahly;Smouha
g_1_EmxwQsWq;Petrojet;El Gaish
g_1_EavCbmz5;Aston Villa;West Brom
g_1_Kxu8aTKb;Derby;Leeds
g_1_r5XTgzD3;Sunderland;Portsmouth
g_1_zXu3hoQa;Salford;AFC Fylde
g_1_vH4EguRI;Met. Police;Tonbridge
g_1_hK8IhatP;Warrington;King’s Lynn
g_1_fyiJ2Ld0;Arsenal W;Manchester City W
g_1_YRkN1uC6;Liverpool W;Everton W
g_1_GjuS0aRC;Reading W;Chelsea W
g_1_UgqWaJtJ;West Ham W;Brighton W
g_1_rcXDO2JJ;Yeovil W;Birmingham W
g_1_pxjyQfJa;Aston Villa W;Crystal Palace W
g_1_bLiTRGlm;Charlton W;Leicester W
g_1_KUhPSdZt;Durham W;Tottenham W
g_1_EmGdXxRP;Manchester Utd W;Lewes W
g_1_6oiXQz4g;Sheffield Utd W;Millwall W
g_1_vgbxiJKU;Levadia;Tammeka
g_1_6qCtdBHu;Narva;Paide
g_1_Srt95nA4;Tallinna Kalev U21;Elva
g_1_pKzE46PA;Rakvere;Flora U21
g_1_KtRW7Of1;Denmark U17 W;Bulgaria U17 W
g_1_bXPz7rA7;Portugal U17 W;Spain U17 W
g_1_CU2cOqur;Germany U17 W;Austria U17 W
g_1_jL11N3fl;Netherlands U17 W;England U17 W
g_1_d22pBf7H;HJK;SJK
g_1_lxaxDGx5;Honka;VPS
g_1_SSctCzhB;KPV Kokkola;Lahti
g_1_ttJJBKgT;AC Oulu;Haka
g_1_U5FFC0vN;MuSa;Jaro
g_1_nNen7v2p;MyPa;AC Kajaani
g_1_nHdmFksC;Viikingit;Mikkelin
g_1_Gj1iE9dI;Klubi 04;PEPO
g_1_0ELnyqIj;Espoo;EPS
g_1_6B8YbnAc;Gnistan;KaaPo
g_1_lzbwb6P3;Ilves 2;Jazz Pori
g_1_SK9UaSfi;P-Iirot Rauma;Honka Akatemia
g_1_2w2scQvA;SalPa;KaPa
g_1_E950wl13;Rovaniemi 2;VIFK
g_1_W4f0eVKo;Jypk W;HJK W
g_1_Aeg4fkzh;TiPS W;ONS Oulu W
g_1_hKr9g9kb;KuPS W;Ilves W
g_1_6NnDhT44;TPS W;Myran W
g_1_0pnHimKA;Aland Utd W;Honka W
g_1_Srje38AJ;Angers;Paris SG
g_1_QwCCvPXI;Amiens;Toulouse
g_1_tnfa2SPP;Caen;Reims
g_1_bRtRcnYt;Dijon;Strasbourg
g_1_ITdSeQ2g;Nice;Nantes
g_1_dKeWfpIa;Nimes;Monaco
g_1_KEYzfGqq;Bolnisi;Dila Gori
g_1_hSWrhfEe;Chikhura;WIT Georgia
